"","X","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"5",5,"Atp5e",7.81137187394392e-121,-0.801485082702089,0.989,0.991,1.27981516782697e-116
"18",18,"Cox7c",2.42090228729363e-93,-0.678268146098946,0.982,0.993,3.96640630750188e-89
"32",32,"Cox7a2",6.37945801876009e-79,-0.532562955360099,0.981,0.978,1.04521040179365e-74
"38",38,"Atp5j2",3.73698212629251e-74,-0.525567869050902,0.984,0.991,6.12267151571766e-70
"46",46,"Cox17",1.03097858031782e-68,-0.464286099569379,0.902,0.976,1.68915530599272e-64
"52",52,"Atp5k",3.30769770882348e-64,-0.471603257712641,0.732,0.965,5.41933192613638e-60
"58",58,"Uqcrb",1.85217944260327e-61,-0.496170602831844,0.964,0.982,3.03461079876119e-57
"62",62,"Ndufa5",5.48830663849954e-61,-0.454938288893072,0.805,0.936,8.99204159651765e-57
"77",77,"Uqcc2",2.17792430011712e-53,-0.440775794443843,0.936,0.974,3.5683111733119e-49
"79",79,"Uqcr10",2.58020575773503e-53,-0.414725341524619,0.956,0.982,4.22740911347307e-49
"103",103,"Ndufv3",1.66745754726743e-46,-0.373494908277612,0.885,0.938,2.73196244544295e-42
"109",109,"Oas1a",6.17724020264084e-46,-0.462294797258269,0.63,0.824,1.01207903480068e-41
"131",131,"Atpif1",1.09375719979337e-39,-0.385214619386506,0.987,0.996,1.79201179614145e-35
"149",149,"Atp5l",2.59386375392061e-36,-0.349716975214114,0.991,0.987,4.24978637442353e-32
"150",150,"Oas1g",3.98508620674325e-36,-0.271466466055014,0.343,0.642,6.52916524112814e-32
"153",153,"Uqcrq",2.13015685957952e-34,-0.356992719227308,0.976,0.985,3.49004899873508e-30
"154",154,"Cox5b",2.15508830265092e-34,-0.339031483338725,0.986,0.985,3.53089667506327e-30
"163",163,"Ndufa4",6.20648211009406e-33,-0.458659173411796,0.996,0.993,1.01687002891781e-28
"198",198,"Ndufa7",1.79247065661463e-27,-0.314015632818352,0.979,0.971,2.93678392379742e-23
"199",199,"Slc2a6",2.70650435235396e-27,-0.262963074836413,0.131,0.371,4.43433673089673e-23
"226",226,"Uqcrh",2.3458281178242e-24,-0.256021216581803,0.989,0.982,3.84340478824317e-20
"326",326,"Nupr1",2.19204475571799e-10,-0.404766799363013,0.923,0.963,3.59144612776835e-06
