"","X","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell"
"42",42,"Klf2",1.93550004271187e-63,0.598959240905827,0.877,0.868,3.23422057137153e-59,"CD4+"
"128",128,"Ccr7",1.40575809422428e-36,0.319644868327105,0.775,0.808,2.34902177544877e-32,"CD4+"
"158",158,"Cd69",1.59827965861055e-33,-0.490722854417857,0.452,0.615,2.67072530953822e-29,"CD4+"
"200",200,"Cd28",9.89256123427573e-30,-0.357596540181729,0.602,0.753,1.65304698224747e-25,"CD4+"
"252",252,"Ctla4",9.43474362356036e-25,0.786301021378866,0.224,0.134,1.57654565949694e-20,"CD4+"
"383",383,"Pdcd1",3.69813426904465e-17,0.565292836062608,0.106,0.048,6.1795823635736e-13,"CD4+"
"533",22,"Tigit",2.12435238263829e-155,0.958941836449154,0.573,0.228,3.54979283138859e-151,"CD8+"
"536",25,"S1pr1",6.61459916663075e-143,-0.821998625501249,0.198,0.518,1.105299520744e-138,"CD8+"
"571",60,"Tcf7",2.41235391854799e-101,-0.719236776357509,0.561,0.789,4.03104339789368e-97,"CD8+"
"581",70,"Ccr7",2.28065227762259e-95,-0.68837584940146,0.329,0.608,3.81096995590734e-91,"CD8+"
"584",73,"Klf2",5.66715290074758e-94,-0.675535235790885,0.481,0.744,9.46981249714921e-90,"CD8+"
"616",105,"Pdcd1",2.35808442883025e-81,1.17409968166573,0.335,0.126,3.94035908057535e-77,"CD8+"
"651",140,"Lag3",4.61618657925156e-69,0.83854151704849,0.271,0.093,7.71364777392936e-65,"CD8+"
"763",252,"Gzma",1.24014809971662e-48,2.54946394368544,0.144,0.036,2.07228747462646e-44,"CD8+"
"837",326,"Cd160",6.62082429629564e-41,0.459650417373664,0.431,0.259,1.106339739911e-36,"CD8+"
"873",362,"Itga1",3.15574443362113e-38,0.418559647551309,0.322,0.166,5.27324894858091e-34,"CD8+"
"904",393,"Ccl5",4.4219894670771e-36,0.606800256701154,0.475,0.305,7.38914439948583e-32,"CD8+"
"914",403,"Cd28",1.21326265881967e-35,-0.371184838183215,0.381,0.554,2.02736190288766e-31,"CD8+"
"1108",597,"Cd27",8.18471593098571e-24,-0.254291695284625,0.534,0.668,1.36766603206771e-19,"CD8+"
"1153",642,"Ctla4",6.55739579142664e-21,0.266357129674293,0.218,0.118,1.09574083674739e-16,"CD8+"
"1184",673,"Cd244a",1.04411422962578e-17,0.334053770094296,0.329,0.224,1.74471487770468e-13,"CD8+"
"1186",675,"Cd69",1.53089363639777e-17,-0.290744493148549,0.647,0.724,2.55812326642067e-13,"CD8+"
"1200",689,"Eomes",7.71184825417554e-15,0.259079900770441,0.339,0.242,1.28864984327273e-10,"CD8+"
"1219",12,"Ccl5",5.05488894370021e-26,-1.62741931495524,0.272,0.69,8.44671942492305e-22,"NK"
"1222",15,"Itga2",1.86701071373081e-24,-0.958427427620143,0.148,0.524,3.11977490264418e-20,"NK"
"1225",18,"Klf2",3.25736656969992e-23,-1.12886693825226,0.312,0.711,5.44305953796857e-19,"NK"
"1227",20,"Eomes",6.94290954513816e-22,-1.04924435386494,0.331,0.684,1.16016018499259e-17,"NK"
"1244",37,"Gzma",2.44390622693718e-18,-1.31518099766899,0.177,0.508,4.08376730521203e-14,"NK"
"1246",39,"Lag3",5.73043928784342e-18,0.701759617655978,0.405,0.091,9.57556404998635e-14,"NK"
"1258",51,"Ccl3",2.67029728720612e-16,-1.02337449213937,0.046,0.267,4.46206676692143e-12,"NK"
"1270",63,"Ccl4",3.25271823792078e-15,-0.871231386960995,0.069,0.289,5.43529217556563e-11,"NK"
"1273",66,"Prf1",6.99811284829582e-15,-0.984364609060959,0.276,0.588,1.16938465695023e-10,"NK"
"1293",86,"Ifng",1.64296102631674e-13,-0.622125919998366,0.102,0.342,2.74538787497527e-09,"NK"
"1323",116,"Tigit",2.22750338228519e-12,0.730311460419063,0.693,0.449,3.72215815179856e-08,"NK"
"1345",138,"Cd160",1.76113112054615e-11,0.725224787269572,0.663,0.471,2.94285010243262e-07,"NK"
"1563",356,"Itga1",2.02323553155483e-06,0.288745144239481,0.513,0.31,0.0338082657322812,"NK"
