"","V1","V2","V3","V4","V5","V6","V7"
"1","2410006H16Rik","Dtx3l","Gbp9","Ifi202b","Irgm1","Oas3","Stat2"
"2","Apol9a","Eif2ak2","Gm4951","Ifi35","Irgm2","Oasl2","Tagln"
"3","Apol9b","Elf3","H2-D1","Ifi44","Isg15","Parp12","Tap1"
"4","Bst2","Fxyd3","H2-K1","Ifi47","Jun","Parp14","Tgtp1"
"5","C3","Gbp10","H2-Q4","Ifih1","Lgals3bp","Parp9","Tgtp2"
"6","Cfb","Gbp2","H2-Q6","Ifit1","Lgals9","Phf11d","Trafd1"
"7","Col1a1","Gbp3","H2-Q7","Ifit3","Ly6a","Psmb8","Ubd"
"8","Col1a2","Gbp4","H2-T22","Ifit3b","Ly6c1","Psmb9","Ube2l6"
"9","Cxcl10","Gbp5","H2-T23","Ifitm3","Mitd1","Rsad2","Usp18"
"10","Cxcl9","Gbp6","Herc6","Igtp","Mt2","Rtp4","Xaf1"
"11","Ddx24","Gbp7","Hist1h2ae","Iigp1","Oas1a","Slc2a6","Zbp1"
"12","Ddx60","Gbp8","Id3","Irf7","Oas1g","Stat1","Znfx1"
